variant,sample_id,ok,label_llm,confidence,phishing_type,reasoning,indicators_found,indicators_not_found,top_factors,prompt_tokens,completion_tokens,latency_ms,error
E_poc_2k,1214,True,1,0.95,brand_impersonation,"The URL uses a suspicious .cc TLD and subdomain 'bpi-ckn' that mimics BPI but is not official. The HTML content perfectly impersonates BPI's branding, including title, meta tags, and scripts, but the domain-content mismatch is a strong phishing indicator. Models were fooled by the high-quality copy, but the URL and domain are clearly malicious.","[""Suspicious URL structure (unusual TLD .cc, subdomain 'bpi-ckn')"", 'Brand impersonation (title, meta tags, scripts mimicking BPI)', 'Domain-content inconsistency (official BPI content on unofficial domain)']","['Obvious HTML errors or misspellings', 'Visible credential harvesting form in first 2000 chars']",,862,710,10951.220575982006,
D_html_osint,516,True,phish,0.85,scam,"The domain oppcom.shop is only 207 days old, not in Tranco Top-1M, and has never been archived by the Wayback Machine, which are strong signals of a short-lived or suspicious site. The HTML loads all assets (themes, plugins, JS) from an external CDN (varydiao.oss-us-west-1.aliyuncs.com) rather than the domain itself, a common pattern in phishing kits that reuse legitimate-looking resources. The page title '30-Days Hassle-Free Returns' and the presence of WooCommerce and Facebook Pixel code suggest a fake storefront designed to harvest credentials or payment information. The combination of a young, unarchived domain with external asset loading and e-commerce functionality indicates a phishing or scam operation.","['domain age 207 days (medium-risk)', 'not in Tranco Top-1M', 'never archived by Wayback Machine', 'all assets loaded from external CDN (varydiao.oss-us-west-1.aliyuncs.com)', ""page title unrelated to domain name ('30-Days Hassle-Free Returns')"", 'WooCommerce and Facebook Pixel present (potential fake store)', 'wildcard certificate observed (often used by phishing sites)']","['no password field or login form in the provided HTML', 'no obfuscated JavaScript', 'no hidden iframes', 'no fake CAPTCHA', 'no redirect to external login page', 'no brand impersonation in the visible content']","['young domain with no traffic or archival history', 'external asset loading from unrelated CDN', 'e-commerce functionality on a suspicious domain']",3931,414,8530.92597000068,
D_html_osint,29,True,phish,0.92,brand_impersonation,"The domain kucobit88.com is a typosquat of the legitimate KuCoin exchange (kucoin.com), substituting 'bit' for 'coin' and adding '88'. The domain is only 211 days old, never archived by Wayback Machine, uses only free SSL issuers, and has no Tranco rank, all consistent with a short-lived phishing site. The HTML content is a fully functional cryptocurrency exchange interface with login/registration forms, buy/trade menus, and links to third-party payment processors, designed to harvest credentials and funds from victims expecting a KuCoin-like platform.","['typosquatting domain (kucobit88.com vs kucoin.com)', 'domain age 211 days (medium-risk)', 'no Wayback Machine archival history', ""only free SSL issuers (Let's Encrypt/ZeroSSL/Buypass)"", 'not in Tranco Top-1M', 'fully functional crypto exchange interface with login forms', 'brand impersonation of KuCoin (similar name, layout, features)']","['password field action pointing to external URL', 'hidden iframes', 'obfuscated JavaScript', 'fake CAPTCHA', 'wallet drainer scripts', 'fake browser update prompts', 'redirect to external phishing page']","['typosquatting domain', 'young domain with no archival history', 'free-only SSL certificates', 'crypto exchange interface impersonating KuCoin']",3933,344,6330.706398002803,
D_html_osint,1418,True,phish,0.95,scam,"The page immediately redirects via JavaScript to a PHP script on the same suspicious domain (acej.info), which is a common technique to evade initial analysis. The visible content is a flashing 'Deposit 2000 USD -> GET 200 000 USD X100' offer, a classic 'get rich quick' scam designed to lure victims into sending money. The page is filled with numerous hidden links (likely for SEO spam or click fraud) and links to known SEO manipulation services (IndexJump, AIO, Semalt, TrustBurn), indicating the site is part of a low-reputation network. The domain acej.info is only 320 days old, not in the Tranco top 1M, and the URL contains a double-encoded path pointing to an AWS S3 bucket, which is often abused for hosting phishing content.","['JavaScript redirect to PHP script on same domain', ""Flashing 'Deposit 2000 USD -> GET 200 000 USD X100' scam offer"", 'Hidden links (SEO spam / click fraud)', 'Links to known SEO manipulation services (IndexJump, AIO, Semalt, TrustBurn)', 'Domain age only 320 days', 'Domain not in Tranco top 1M', 'Double-encoded URL path pointing to AWS S3 bucket', 'Excessive whitespace and hidden links to evade detection']","['No password fields or login forms', 'No brand impersonation (no logos, trademarks, or brand names)', 'No credential-harvesting JavaScript', 'No hidden iframes', 'No fake CAPTCHA', 'No wallet drainer scripts', 'No fake browser update prompts', 'No fake store or checkout pages']","['Scam offer promising unrealistic returns', 'JavaScript redirect to PHP script on suspicious domain', 'Domain age and reputation signals (young, low traffic)', 'Presence of SEO spam and link manipulation services']",4075,470,10204.481844994007,
D_html_osint,2497,True,phish,0.85,brand_impersonation,"The domain bssc.live is a typosquatting variant of Binance's official domain (binance.com), using a .live TLD and a name that mimics 'Binance Smart Chain' (BSC). The page claims to be 'Binance Super Smart Chain' and uses Binance branding (BNB, BSC) to impersonate a legitimate Binance project. The domain is only 227 days old, not in the Tranco top 1M, and has limited Wayback history, which are typical of phishing sites. The HTML contains no actual login form or credential harvesting fields, but the brand impersonation and domain deception are strong indicators of a phishing or scam site aimed at tricking users into trusting a fake blockchain project.","['domain typosquatting (bssc.live vs binance.com)', 'brand impersonation (Binance, BNB, BSC logos and names)', 'unusual TLD (.live) for a financial/blockchain project', 'young domain age (227 days)', 'no Tranco rank (not in top 1M)', 'limited Wayback Machine history (3 snapshots, last 157 days ago)']","['password input fields', 'login form', 'credential-harvesting JavaScript', 'hidden iframes', 'fake CAPTCHA', 'redirects to external phishing pages', 'obfuscated content', 'wallet drainer scripts', 'fake browser update prompts', 'fake store or checkout flow']","['domain typosquatting of Binance', 'brand impersonation of Binance Smart Chain', 'young domain with low traffic and archival signals']",3612,424,10659.019287995761,
D_html_osint,1214,True,phish,0.95,credential_harvesting,"The domain 'bpi-ckn.cc' is a typosquat of the legitimate BPI domain 'bpi.com.ph', using a suspicious .cc TLD and a domain age of only 197 days with no Wayback archive history, which are classic phishing indicators. The HTML content is a near-perfect clone of the real BPI homepage, including brand assets, meta tags, and scripts, but the page is hosted on a completely unrelated domain, indicating brand impersonation. The presence of a login form (implied by the cloned structure) on a non-official domain confirms credential harvesting intent.","['typosquatting domain (bpi-ckn.cc vs bpi.com.ph)', 'suspicious .cc TLD', 'domain age 197 days (medium-risk)', 'no Wayback Machine archive history', ""only free SSL certificate issuer (Let's Encrypt/ZeroSSL/Buypass)"", 'brand impersonation (full clone of BPI homepage)', 'login form on non-official domain']","['no password field in truncated HTML (but implied by login form)', 'no hidden iframes in provided snippet', 'no obfuscated JavaScript in provided snippet', 'no fake CAPTCHA in provided snippet', 'no wallet drainer scripts', 'no fake browser update prompts']","['domain typosquatting and suspicious TLD', 'lack of legitimate domain history (no Tranco, no Wayback)', 'brand impersonation via cloned HTML content']",3245,388,8213.589254010003,
C_html_only,516,True,phish,0.85,scam,"The domain 'oppcom.shop' uses a generic TLD and does not correspond to any known legitimate brand, which is a common phishing pattern. The page loads assets from an Alibaba Cloud OSS bucket ('varydiao.oss-us-west-1.aliyuncs.com'), indicating the site is hosted on a free or low-cost infrastructure often abused by phishers. The HTML includes Facebook Pixel tracking and PixelYourSite analytics, which are typical of e-commerce sites, but the overall lack of brand-specific content and the suspicious domain suggest a phishing setup. The page title '30-Days Hassle-Free Returns' is generic and does not match any well-known retailer, further supporting the phishing hypothesis.","['domain uses generic TLD .shop with no brand association', 'assets loaded from Alibaba Cloud OSS bucket (varydiao.oss-us-west-1.aliyuncs.com)', ""generic page title '30-Days Hassle-Free Returns'"", 'Facebook Pixel and PixelYourSite tracking present', 'no recognizable brand or company name in content']","['no password or login form present', 'no credential-harvesting JavaScript detected', 'no hidden iframes or obfuscated content', 'no fake CAPTCHA or wallet drainer', 'no fake browser update or store', 'no redirects to external phishing pages']","['suspicious domain with no brand identity', 'use of free cloud storage for assets', 'generic e-commerce template lacking specific brand content']",3701,386,9928.606480010785,
C_html_only,29,True,phish,0.95,brand_impersonation,"The domain 'kucobit88.com' is a typosquatting variant of the legitimate exchange 'kucoin.com', using a lookalike name with 'kuco' and 'bit' appended. The page title is generic 'Crypto Exchange' and the HTML contains links to external payment processors (Banxa, Simplex, Ramp) and a 'Buat pesanan' (Indonesian for 'Create order') menu, but no actual login form or credential harvesting fields are present in the provided snippet. However, the domain itself is highly suspicious and the page appears to be a fake exchange site designed to impersonate KuCoin, likely to trick users into entering credentials or connecting wallets on subsequent pages. The presence of a 'Trade' menu and 'IEO' section further mimics a real exchange, but the domain mismatch and lack of legitimate branding confirm phishing intent.","['typosquatting domain: kucobit88.com vs kucoin.com', ""generic page title 'Crypto Exchange'"", 'Indonesian language menu items (Beranda, Mata uang, Buat pesanan)', 'links to external payment processors (Banxa, Simplex, Ramp)', 'no visible login form or credential fields in provided HTML', 'page structure mimics a cryptocurrency exchange']","['password input fields', 'login form with action to external URL', 'hidden iframes', 'obfuscated JavaScript', 'fake CAPTCHA', 'wallet drainer scripts', 'fake browser update prompts', 'credential-harvesting JavaScript']","['typosquatting domain', 'generic branding', 'impersonation of KuCoin exchange']",3699,424,15451.847668999108,
C_html_only,1418,True,phish,0.95,scam,"The URL uses a suspicious domain (acej.info) with a path that mimics a legitimate S3 bucket URL, suggesting a redirect or cloaking mechanism. The page content includes a flashing promotional message promising unrealistic returns ('Deposit 2000 USD -> GET 200 000 USD X100'), which is a classic scam lure. The page also contains a JavaScript redirect to a PHP script on the same domain, likely for tracking or credential harvesting, and a large list of numeric links that appear to be click fraud or SEO spam. No legitimate login form or brand impersonation is present, but the combination of financial scam promises, redirects, and spammy links strongly indicates a phishing/scam page.","['suspicious domain (acej.info) not matching the S3 bucket in the URL path', 'flashing promotional text promising unrealistic financial returns', 'JavaScript redirect to a PHP script on the same domain', 'large list of numeric links likely used for click fraud or SEO spam', 'presence of external links to known SEO/spam services (IndexJump, AIO, Semalt, Trustburn)']","['no password input fields', 'no login form', 'no brand logos or brand impersonation', 'no hidden iframes', 'no obfuscated JavaScript', 'no fake CAPTCHA', 'no wallet drainer scripts', 'no fake browser update prompts']","['unrealistic financial promise (scam lure)', 'suspicious domain and URL structure', 'JavaScript redirect to a PHP script', 'presence of SEO spam links']",3817,397,7570.48598700203,
C_html_only,2497,True,phish,0.95,brand_impersonation,"The domain bssc.live is a typosquat of Binance's official domain (binance.org) and uses a free hosting TLD (.live) not associated with Binance. The page impersonates Binance's brand with the name 'Binance Super Smart Chain' and claims to be a legitimate Binance project, but no official Binance announcement or listing exists for such a chain. The page contains no login form or credential harvesting fields, but the brand impersonation and suspicious domain are strong phishing indicators, likely aimed at tricking users into connecting wallets or trusting a fake project.","['domain typosquatting (bssc.live vs binance.org)', 'unusual TLD (.live) for a Binance project', 'brand impersonation of Binance in title and content', ""no official Binance announcement or listing for 'Binance Super Smart Chain'"", 'page uses Next.js framework but no login form or credential harvesting']","['password fields', 'login forms', 'credential-harvesting JavaScript', 'hidden iframes', 'fake CAPTCHA', 'redirects to external phishing sites', 'wallet drainer scripts', 'fake browser update prompts', 'fake store or checkout pages']","['domain typosquatting', 'brand impersonation', 'unusual TLD for a major brand']",3375,361,6568.103928002529,
C_html_only,1214,True,phish,0.95,credential_harvesting,"The domain 'bpi-ckn.cc' is a clear typosquat of the legitimate BPI domain 'bpi.com.ph', using a .cc TLD which is unusual for a Philippine bank. The page copies the full HTML structure, metadata, and scripts from the real BPI website, including Google Tag Manager IDs and Adobe analytics, to appear legitimate. However, the URL path '/point' does not match any known BPI service, and the domain itself is not owned by BPI. These indicators strongly point to a credential harvesting phishing site.","['typosquatting domain (bpi-ckn.cc vs bpi.com.ph)', 'unusual TLD (.cc) for a Philippine bank', 'full brand impersonation of BPI (Bank of the Philippine Islands)', 'copied HTML including metadata, scripts, and analytics from legitimate BPI site', ""URL path '/point' not matching any known BPI service""]","['password field or login form in the provided HTML', 'credential-harvesting JavaScript', 'hidden iframes', 'fake CAPTCHA', 'redirects to external sites', 'obfuscated content', 'wallet drainer scripts', 'fake browser update prompts', 'fake store elements']","['domain typosquatting', 'brand impersonation', 'unusual TLD']",3016,362,22641.3725890161,
B_html_probs_osint,516,True,benign,0.85,legitimate,"The domain oppcom.shop is 207 days old, not in Tranco Top-1M, and never archived, which are mild risk signals, but the HTML content reveals a legitimate WooCommerce store using the Flatsome theme with standard WordPress assets, no password fields, no login forms, no credential-harvesting JavaScript, and no brand impersonation. The page title '30-Days Hassle-Free Returns' and the presence of Facebook Pixel tracking (IDs 858826268411444 and 3356146567951027) are consistent with a genuine e-commerce site. The static classifier PhishGraph rates it 0.9% phishing, strongly supporting benign. No phishing indicators were found in the HTML.","['Domain age 207 days (medium risk)', 'Not in Tranco Top-1M', 'No Wayback Machine history', '13 certificates in CT logs, wildcard cert observed']","['No password fields or login forms', 'No credential-harvesting JavaScript', 'No brand impersonation (no lookalike of known brands)', 'No hidden iframes', 'No fake CAPTCHA', 'No redirects to suspicious domains', 'No obfuscated content', 'No wallet drainer scripts', 'No fake browser update prompts', 'No fake store indicators (e.g., unrealistic discounts, missing contact info)', 'No typosquatting in domain', 'No IP address in URL', 'No unusual TLD (uses .shop, which is common for e-commerce)', 'No free hosting (hosted on AS47846, a legitimate ASN)']","['HTML content shows legitimate WooCommerce store with standard WordPress assets', 'PhishGraph classifier gives 0.9% phishing probability', 'No credential harvesting or brand impersonation patterns in HTML', 'Domain age and OSINT signals are mild but not conclusive for phishing']",3978,468,10189.912678004475,
B_html_probs_osint,29,True,phish,0.85,brand_impersonation,"The domain kucobit88.com is a typosquat of the legitimate KuCoin exchange (kucoin.com), using a lookalike name with 'bit' inserted and a .com TLD. The page is a full crypto exchange interface with login/registration forms, brand impersonation (KuCoin-like UI), and links to external payment processors (Banxa, Simplex, Ramp) that could be used to harvest credentials or payment info. The domain is only 211 days old, never archived on Wayback Machine, and uses only free SSL certificates, all consistent with phishing infrastructure. The static classifier gave a low phishing score (5.6%), but the typosquatting and brand impersonation override that signal.","['typosquatting of KuCoin (kucobit88.com vs kucoin.com)', 'brand impersonation (KuCoin-like UI, crypto exchange theme)', 'domain age 211 days (medium risk)', 'no Wayback Machine archival history', ""only free SSL issuers (Let's Encrypt, ZeroSSL, Buypass)"", 'login/registration forms present (credential harvest target)', 'external links to payment processors (Banxa, Simplex, Ramp) for credential harvesting']","['no IP address in URL', 'no suspicious TLD (uses .com)', 'no hidden iframes', 'no obfuscated JavaScript', 'no fake CAPTCHA', 'no wallet drainer scripts', 'no fake browser update prompts', 'no redirect to external phishing page']","['typosquatting of a known crypto brand', 'domain age and archival absence', 'free-only SSL certificate history', 'presence of login forms and payment processor links']",3980,439,9632.600555021781,
B_html_probs_osint,1418,True,phish,0.85,scam,"The page immediately redirects via JavaScript to a PHP script on the same suspicious domain (acej.info), which is a common pattern for tracking or credential harvesting. The page prominently displays a flashing 'Deposit 2000 USD -> GET 200 000 USD' offer, a classic 'get rich quick' scam lure. The domain acej.info is not in the Tranco top 1M, is only 320 days old, and the URL contains an encoded path pointing to an S3 bucket, which is often used to host phishing pages. The page also contains a large number of numbered links to the same domain, likely for SEO spam or click fraud, further indicating malicious intent.","['JavaScript redirect to a PHP script on the same domain', ""Flashing 'Deposit 2000 USD -> GET 200 000 USD' scam offer"", 'Domain not in Tranco top 1M', 'Domain age only 320 days (medium risk)', 'URL contains encoded path to an S3 bucket', 'Large number of numbered links to the same domain (SEO spam/click fraud)', 'Page contains links to known SEO spam services (IndexJump, AIO, Semalt, TrustBurn)']","['No password or login form present', 'No brand impersonation (no logos, trademarks, or brand names)', 'No hidden iframes', 'No obfuscated JavaScript', 'No fake CAPTCHA', 'No wallet drainer scripts', 'No fake browser update prompts', 'No fake store elements']","['JavaScript redirect to a PHP script on the same domain', 'Flashing scam offer promising unrealistic returns', 'Domain age and lack of legitimate traffic signal', 'Presence of SEO spam links and numbered links']",4122,435,6598.630120977759,
B_html_probs_osint,2497,True,phish,0.85,brand_impersonation,"The domain bssc.live is a typosquat of Binance's official domain (binance.org), using a .live TLD and not in the Tranco top 1M. The page impersonates Binance's brand with 'Binance Super Smart Chain' and claims to be associated with Binance, but the GitHub repository is a personal account (HaidarIDK), not an official Binance repo. The page contains no login form or credential harvesting fields, but the brand impersonation and suspicious domain strongly indicate a phishing or scam site designed to deceive users into trusting a fake Binance project.","['domain typosquatting (bssc.live vs binance.org)', 'unusual TLD (.live)', 'not in Tranco top 1M', 'brand impersonation of Binance', 'GitHub repository from personal account, not official Binance', 'domain age 227 days (medium risk)', 'no Wayback Machine snapshots in last 157 days']","['password fields', 'login forms', 'credential-harvesting JavaScript', 'hidden iframes', 'fake CAPTCHA', 'redirects to external phishing pages', 'wallet drainer scripts', 'fake browser update prompts', 'fake store or checkout pages']","['typosquatting domain', 'brand impersonation', 'personal GitHub repo', 'low traffic rank']",3659,373,5806.4516550221015,
A_html_probs,1675,True,benign,0.95,legitimate,"The domain firsttb.com is a legitimate domain for First Texas Bank, and the HTML content is a standard WordPress site with a banking theme, containing no login forms, password fields, credential-harvesting scripts, or suspicious redirects. The static classifier PhishGraph rates it as 0.6% phishing probability, strongly indicating benign. No indicators of phishing were found after thorough analysis.",[],"['typosquatting or lookalike domain', 'IP address in URL', 'unusual TLD', 'free hosting domain', 'password fields or login forms', 'credential-harvesting JavaScript', 'hidden iframes', 'brand impersonation', 'fake CAPTCHA', 'redirects to external sites', 'obfuscated content', 'wallet drainer scripts', 'fake browser update prompts', 'fake store or checkout pages']","['legitimate domain matching bank name', 'WordPress banking theme with no credential collection', 'very low phishing probability from static classifier']",3399,282,3902.1420549834147,
C_html_only,231,True,phish,0.95,scam,"The URL uses a random-looking domain (dtt3wu8dgzw.com) that does not match the legitimate brand 'Essence' referenced in the page title and content. The page is a fake inbox for a social community site, displaying unsolicited messages with urgent or enticing subject lines (e.g., '0円メール', '無料メール', '本日限り', '重要案内') that pressure the user to click links, likely leading to credential harvesting or payment scams. The HTML includes a form action to delete messages but no visible login form, suggesting the phishing occurs after clicking a message link. The domain is not associated with the real Essence site (essence-one.net), and the page lacks any legitimate security indicators.","['random-looking domain (dtt3wu8dgzw.com) not matching brand', 'fake inbox page impersonating a social community site', 'unsolicited messages with urgent/enticing subject lines', 'links to profiles and messages likely leading to credential harvest or payment scam', 'no visible login form but form action for deletion present', ""page references legitimate brand 'Essence' but domain is unrelated""]","['password input field', 'credit card input field', 'obfuscated JavaScript', 'hidden iframes', 'fake CAPTCHA', 'wallet drainer scripts', 'fake browser update', 'redirect to external site in HTML']","['domain mismatch with brand', 'unsolicited urgent messages', 'fake inbox interface']",3704,387,4706.405013013864,
D_html_osint,3789,True,benign,0.99,legitimate,"The URL points to a legitimate PDF hosted on a well-established domain (pearsonclinical.com.au) with a 14-year Wayback history and a Tranco rank in the top 1M. The HTML content is a standard PDF viewer (Mozilla's pdf.js) with no login forms, credential fields, obfuscated scripts, or brand impersonation. No phishing indicators were found in the URL, HTML, or OSINT context.",[],"['typosquatting or lookalike domain', 'IP address in URL', 'unusual TLD', 'free hosting domain', 'password or login form', 'credential-harvesting JavaScript', 'hidden iframes', 'brand impersonation (e.g., fake Pearson login)', 'fake CAPTCHA', 'redirects to external sites', 'obfuscated content', 'wallet drainer scripts', 'fake browser update prompts', 'fake store or checkout page']","['domain age and Wayback history', 'legitimate PDF viewer HTML', 'no credential harvesting elements']",3204,291,5372.5392630149145,
