sample_id,gt,d_label,b_label,d_correct,b_correct,b_confidence,b_reasoning_preview,b_error
920,1,0,0.0,False,False,0.95,"The URL is a legitimate Blogspot subdomain (sweetiegeminidays.blogspot.fi) with a 15-year-old domain, Tranco rank #34,328, and no suspicious typosquatting or lookalike patterns. The HTML content is a standard, empty Blogger mobile template with no login forms, password fields, credential-harvesting ",
37,1,0,0.0,False,False,0.95,"The page content is a standard Cloudflare 522 error page (connection timed out), containing no login forms, password fields, credential-harvesting scripts, or brand impersonation. The URL includes tracking parameters but the domain is not a known phishing domain and the page is served by Cloudflare,",
987,1,0,0.0,False,False,0.95,"The URL admin.kleinanzewige.de is a subdomain of a legitimate German classifieds platform (Kleinanzeigen.com). The HTML content is a full, functional copy of the real site, including proper meta tags, Google Analytics, AdSense, Facebook integration, and a cookie consent banner. No credential-harvest",
1593,1,0,0.0,False,False,0.95,"The URL is a shortened link from the legitimate URL shortener to.lk, which has a 3.8-year Wayback history and is not in the Tranco top 1M but is a known service. The HTML content is a standard URL shortening page with no credential harvesting forms, password fields for login, or obfuscated scripts. ",
1529,1,0,1.0,False,True,0.86,"The domain climumgepma.cc uses a suspicious .cc TLD and is not in the Tranco top 1M, with no recent Wayback snapshots (last capture 431 days ago) and no Certificate Transparency logs, consistent with a fresh phishing domain. The HTML content is a generic Vue Admin Template with no visible login form",
415,1,0,0.0,False,False,0.99,"The URL is a legitimate Blogger subdomain (silverscrappers.blogspot.ca) with a long-established domain (19.6 years old), high Tranco rank, and extensive Wayback history. The HTML content is a standard Blogger template for a crafting blog, containing no password fields, login forms, credential-harves",
115,1,0,0.0,False,False,0.95,"The URL is a standard Blogspot subdomain (portal-law.blogspot.in) with no typosquatting or suspicious TLD. The HTML content is a legitimate Blogger template with Google AdSense scripts, no password fields, login forms, credential-harvesting JavaScript, hidden iframes, or brand impersonation. The dom",
411,1,0,1.0,False,True,0.75,"The URL contains a suspicious path with double-encoding and an Amazon S3 bucket reference, which is atypical for legitimate sites. The domain 'free-pesni.mobi' is unrelated to the page content about 'ProBets' sports predictions, indicating brand impersonation. The page loads resources from 'probets.",
795,1,0,1.0,False,True,0.88,"The domain sso-gemini-com-x-auth.pages.dev is a clear typosquat of the legitimate Gemini domain, using a free hosting service (pages.dev) and a suspicious subdomain structure that mimics an SSO authentication path. The HTML content contains a Gemini logo and brand impersonation, but the page is a st",
616,1,0,1.0,False,True,0.95,"The domain 'ledgir--live.pages.dev' is a clear typosquat of 'ledger.com' using a free hosting subdomain (pages.dev), which is a strong phishing indicator. The page impersonates the Ledger brand with official-looking content but contains no actual login form, download links, or interactive elements, ",
673,1,0,1.0,False,True,0.95,"The domain uses an IDN homograph attack (xn--keiinanzeigen-imb.de) to visually impersonate 'kleinanzeigen.de', a known German classifieds site. The page content is a near-perfect clone of the legitimate Kleinanzeigen.com site, including its logo, layout, and Google Analytics/AdSense scripts, but the",
2071,1,0,0.0,False,False,0.95,"The URL uses a subdomain of tilda.ws, a legitimate website builder platform. The HTML content shows a standard Tilda 'Pages are not published' placeholder page with no login forms, password fields, credential-harvesting scripts, or brand impersonation. The domain has a Tranco rank of #3,295, indicat",
471,1,0,0.0,False,False,0.95,"The domain kijitoracoffee.shop is 2.3 years old, has 20 Wayback snapshots over 2 years, and resolves to a Japanese ASN. The HTML content is a fully functional WordPress site using the Swell theme, with a menu structure, Instagram and YouTube links, and no login forms, password fields, credential-har",
1435,1,0,,False,,0.5,"The page is a minimal loader that redirects to /main/index.html after 500ms, so the actual content is not visible. The domain is 9.2 years old, has a long Wayback history, and rich CT logs, which are benign signals. However, the static classifier PhishGraph gives a 92.2% phishing score, and the doma",
983,1,0,0.0,False,False,0.95,"The URL is a subdomain of blogspot.com, a legitimate Google-owned blogging platform, and the domain age is 18.8 years, which is inconsistent with typical short-lived phishing sites. The HTML content is a standard Blogger template with no login forms, password fields, credential-harvesting JavaScript",
317,1,0,0.0,False,False,0.85,"The URL uses a legitimate Weebly subdomain (weeblysite.com) and the HTML content is a standard Square Online e-commerce site with no credential-harvesting forms, password fields, or obfuscated scripts. The domain is 13.4 years old, listed in Tranco, and has a valid RDAP record, all pointing to a leg",
1902,1,0,1.0,False,True,0.85,"The URL uses a free hosting domain (pages.dev) and mimics the legitimate Ledger start page path, which is a common phishing pattern. The domain is not the official ledger.com, and the page content is purely informational with no interactive elements, which is unusual for a setup guide that typically",
508,1,0,1.0,False,True,0.95,"The URL uses a free blogging subdomain (blogspot.cl) to impersonate the Dutch hosting brand TransIP, which is a classic typosquatting and brand impersonation pattern. The page title and logo are copied from the real TransIP site, but the domain is not transip.nl. The HTML contains a full replica of ",
1620,1,0,1.0,False,True,0.85,"The domain 'trezro-user-strt.pages.dev' is a typosquatting variant of 'trezor.io/start', using a free hosting platform (Cloudflare Pages) and a misspelled brand name. The page is a static informational guide that does not contain any login forms, password fields, or credential-harvesting mechanisms,",
760,1,0,0.0,False,False,0.95,"The URL is a legitimate Blogger subdomain (revistadxt.blogspot.cz) with a 19-year-old domain, Tranco rank #48,988, and the HTML content is a standard Blogger mobile template for a sports magazine called 'Revista DxT'. No login forms, password fields, credential-harvesting scripts, hidden iframes, or",
2404,1,0,1.0,False,True,0.92,"The domain 'trezorwalllet.blogspot.ug' is a clear typosquat of the legitimate 'trezor.io', using a double 'l' in 'wallet' and a free blogging subdomain on a ccTLD. The page impersonates the Trezor brand with copied content and an image from 'i.ibb.co' (a free image host) that mimics the official tre",
1014,1,0,0.0,False,False,0.95,"The URL uses a subdomain of inmotionhosting.com, a legitimate hosting provider, and the domain has a long history (25.3 years) with a Tranco rank and Wayback snapshots. The HTML content is a standard hosting placeholder page with no login forms, password fields, credential-harvesting scripts, or bra",
713,1,0,0.0,False,False,0.95,"The URL domain www.itptrack8.com is an established domain with a 7.6-year age, rich CT certificate history, and a Tranco rank outside the top 1M but with 1000 Wayback snapshots, indicating legitimate long-term use. The HTML content is a legitimate Mimecast TTP Web Portal login page, using official M",
771,1,0,0.0,False,False,0.85,"The URL uses a double-encoding pattern that could be suspicious, but the domain playcrypt.net is not a known phishing domain and the page content is a fully functional sports betting prediction service (ProBets) with no credential-harvesting forms, password fields, or obfuscated scripts. The page in",
1931,1,0,0.0,False,False,0.95,"The domain catalog-5minutesjustforme.kleinanzegien.de is a subdomain of kleinanzegien.de, which is a legitimate German classifieds platform (Kleinanzeigen). The HTML content is a full copy of the real Kleinanzeigen.com homepage, including proper meta tags, Google Analytics, AdSense, and a cookie con",
563,1,0,0.0,False,False,0.95,"The URL is a legitimate Zoho Desk knowledge base article hosted on a subdomain of zohodesk.com, which is a well-known customer support platform. The domain is 10.5 years old, has a Tranco rank of #76,432, and the HTML content is a standard Zoho Desk portal page with no credential-harvesting forms, p",
2464,1,0,0.0,False,False,0.95,"The page displays a standard 504 Gateway Timeout error from an IPFS gateway, with no login forms, password fields, credential-harvesting scripts, or brand impersonation. The domain is a long-established blogspot.com.mt subdomain (Tranco rank #276,237) and the content is purely an error message with ",
1376,1,0,1.0,False,True,0.85,"The domain is a complex subdomain chain (www.eclass.mrcoach.gr.sfakianakisservice.gr) that mimics a legitimate Greek e-learning platform (eclass.mrcoach.gr) but appends an unrelated domain, a classic typosquatting/lookalike technique. The page loads a full Open eClass login interface, including a pa",
2299,1,0,0.0,False,False,0.95,"The URL is a blogspot.jp subdomain, which is a legitimate free hosting platform owned by Google. The HTML content is clearly YouTube's web front-end, including YouTube-specific JavaScript, favicons, meta tags, and canonical links pointing to youtube.com. No credential-harvesting forms, fake login pa",
812,1,1,1.0,True,True,0.75,"The domain 'asflnags-pas.shop' is a suspicious .shop TLD with a nonsensical name, not in Tranco Top-1M, never archived, and only 244 days old, all consistent with short-lived phishing infrastructure. The HTML content is heavily obfuscated with minified class names and truncated, and while it appears",
2760,0,0,0.0,True,True,0.99,"The URL is a legitimate .gov domain (maine.gov) with a long history (24 years), high Tranco rank, and extensive Wayback snapshots. The HTML content is a standard Drupal 10 site for Maine Revenue Services, using official Google Analytics and Google Translate scripts, with no password fields, login fo",
3391,0,0,0.0,True,True,0.98,"The domain mazzios.com is 30.5 years old, has 1000 Wayback snapshots, a Tranco rank, and a valid RDAP record — all strong signals of a legitimate, long-standing business. The HTML content is a standard WordPress page with Google Analytics, GTM, Facebook domain verification, and schema.org markup for",
1438,1,1,1.0,True,True,0.85,"The domain aarondelacy.shop is a .shop TLD with no Tranco rank, no Wayback history, and only 308 days old, which are typical of short-lived phishing sites. The page impersonates the REEF brand, using their logo and product descriptions, but the domain name does not match the official REEF website (r",
2566,0,0,0.0,True,True,0.98,"The domain fleetx.io is well-established with a Tranco rank of #501,348, over 8 years of Wayback history, 82 certificates from 6 issuers, and hosting on a reputable ASN (AS13335, Cloudflare). The HTML content is a standard Next.js marketing site for a legitimate fleet management software company, wi",
3159,0,0,0.0,True,True,0.95,"The URL is hosted on s0.2mdn.net, a subdomain of 2mdn.net which is owned by Google and used for serving ads and creative bundles. The domain is extremely popular (Tranco rank #473), has a 21-year history with 1000 Wayback snapshots, and the HTML content is a Google Web Designer banner ad with no log",
3290,0,0,0.0,True,True,0.99,"The URL is a legitimate subpath of the well-known domain www.expedia.com, which has a Tranco rank of #1,998, a domain age of 30.5 years, and extensive Wayback Machine history. The HTML content is a travel blog article about Pigeon Forge, containing no login forms, password fields, credential-harvest",
3251,0,0,0.0,True,True,0.98,"The domain smartkaigo.jp has a long history with 1000 Wayback snapshots spanning 11.8 years, a Tranco rank of #467,532, and hosts a legitimate e-commerce site for nursing care products. The HTML content shows a standard shopping cart page with multiple analytics and tracking scripts (Google Analytic",
494,1,1,1.0,True,True,0.92,"The page presents a fake identity verification spinner that delays before redirecting to 'ladino.php?token=...', a classic credential-harvesting pattern. The domain 'vetcongress.us' is not in the Tranco top 1M and has no recent Wayback snapshots, indicating a low-traffic, possibly disposable site. T",
1220,1,1,1.0,True,True,0.85,"The domain 'prashantshah.shop' uses a .shop TLD and is not in the Tranco top 1M, has no Wayback Machine history, and is only 316 days old, which are common traits of phishing sites. The HTML content impersonates the REEF brand with a full e-commerce structure including product categories and a cart,",
3693,0,0,0.0,True,True,0.95,"The domain policeapp.com is 20.9 years old, ranks in Tranco, has 1000+ Wayback snapshots, and resolves to a legitimate ASN. The HTML contains a standard login form for a department portal, with action pointing to an internal ASP page, and includes HubSpot analytics, jQuery, Bootstrap, and other legi",
3013,0,0,0.0,True,True,0.99,"The URL is a legitimate subpage of collegevine.com, a well-known college advice site. The domain has a long history (over 11 years), is in the Tranco top 100k, has extensive Wayback Machine snapshots, and a rich certificate transparency log. The HTML content is a standard Q&A page with no credential",
663,1,1,1.0,True,True,0.92,"The domain 73331381.com:7730 is not in the Tranco top 1M, has no Wayback Machine history, and uses an unusual port, all consistent with a short-lived phishing site. The HTML contains multiple obfuscated POST requests to /entrance/api with base64-encoded payloads, a pattern commonly used to exfiltrat",
2697,0,0,0.0,True,True,0.99,"The URL is a legitimate subpath of the well-known, high-traffic domain coursera.org (Tranco rank #1,041). The HTML content is a standard informational article about the Juris Doctor degree, with no password fields, login forms, credential-harvesting scripts, hidden iframes, or any other phishing ind",
732,1,1,1.0,True,True,0.92,"The page uses a suspicious domain (cybsb.site) not in Tranco Top-1M, with a short certificate history and no meaningful Wayback content. The HTML contains a fake CAPTCHA that harvests a browser fingerprint, then sends it along with a cryptographic signature to an endpoint ('exchange/hashMap/getValue",
1317,1,1,1.0,True,True,0.92,"The domain littlepepeclaims.live is a suspicious TLD (.live) not matching the official brand domain littlepepe.com, and the page is a presale site for a meme token that uses JavaScript to strip all links and buttons of their href attributes and redirect clicks to 'app/index.html', a classic techniqu",
4851,0,0,0.0,True,True,0.99,"The URL is a legitimate subpage of the well-known educational institution MCPHS (Massachusetts College of Pharmacy and Health Sciences), with a .edu TLD and a canonical link matching the URL. The HTML content is a blog post comparing physician assistants and nurse practitioners, containing no login ",
2063,1,1,1.0,True,True,0.95,"The page is titled 'Security Challenge' and presents a fake CAPTCHA alongside a form that asks for a phone number, which is a common social engineering tactic to harvest personal information. The form action points to 'process.php' on the same domain, but the page is hosted on a low-traffic subdirec",
3596,0,0,0.0,True,True,0.98,"The domain distractify.com is a well-established, mainstream site with a Tranco rank of #29,288, over 13 years of age, thousands of Wayback snapshots, and a rich certificate history. The HTML content is a standard news article about Pete Hegseth's military service, with no password fields, login for",
1641,1,1,1.0,True,True,0.98,"The domain en-us-trez-start-io-start.pages.dev is a clear typosquat of the legitimate Trezor.io/start, using a free hosting platform (Cloudflare Pages) and a subdomain that mimics the official URL. The HTML content is a full brand impersonation of Trezor's setup guide, including a warning box urging",
1448,1,1,1.0,True,True,0.85,"The domain 'contact.refund-meta-ads.eu' impersonates Meta (Facebook/Instagram) with 'meta-ads' in the name, a common brand impersonation tactic. The page loads obfuscated tracking scripts from 'youstarsbuilding.com' and a '/chronos' endpoint with an encrypted token, suggesting credential harvesting ",
2072,1,1,1.0,True,True,0.95,"The page contains a credential-harvesting JavaScript function that sends username and password to a Telegram bot (token 6734433347:AAErJQ2V-ITpwrGZWcLjoTR6_o1XdxB_Pt8, chat ID -4011366947) upon form submission, which is a classic exfiltration pattern. The page title and meta tags impersonate Wix (""L",
2334,1,1,1.0,True,True,0.92,"The page is hosted on a free Typedream subdomain (typedream.app) and impersonates CoinLedger, a cryptocurrency tax platform, with a login form titled 'Coinledger® - Login | Sign In to Your Account'. The domain 'coinledgerlogi-docs.typedream.app' contains a typo-squatting pattern ('logi' instead of '",
2671,0,0,0.0,True,True,0.95,"The domain quikfixlaptopkeys.com is 12.9 years old, has 1000 Wayback snapshots, and resolves to a legitimate ASN. The HTML content is a standard WordPress e-commerce site selling laptop keyboard keys, with no password fields, login forms, credential-harvesting JavaScript, hidden iframes, or brand im",
2409,1,1,1.0,True,True,0.85,"The URL vv9262.com:51777 uses a non-standard high port and the domain is not in the Tranco top 1M, has no Wayback Machine history, and no Certificate Transparency logs, all consistent with a fresh or short-lived phishing site. The HTML content reveals a gambling/lobby application with extensive skin",
2405,1,1,1.0,True,True,0.85,"The page immediately redirects via JavaScript to a PHP script on the same domain, which is a common cloaking technique. The visible content is a flashing 'Deposit 2000 USD -> GET 200 000 USD' scam offer, promising unrealistic returns, which is a classic financial scam. The domain is not in the Tranc",
3053,0,0,0.0,True,True,0.99,"The domain www.cancercenter.com is a well-established, legitimate medical organization (City of Hope) with a Tranco rank of ~60k, 29.5 years of Wayback history, and a 28.9-year domain age. The HTML content is a genuine informational article about glossectomy surgery, containing no login forms, passw",
1971,1,1,1.0,True,True,0.95,"The domain roobin-hudlogin.pages.dev is a clear typosquat of Robinhood (roobin vs robin, hudlogin vs login) and uses a free hosting platform (pages.dev). The HTML content contains a login form with email and password fields, but the form has no action attribute, meaning credentials would be sent to ",
1513,1,1,1.0,True,True,0.92,"The domain 'hfmcryptro.com' is a typosquat of the legitimate HFM broker (hfm.com), using a 'cryptro' variant to mimic crypto trading. The page is a single-page application with a dark theme and language selector typical of trading platforms, but the HTML is truncated and lacks any actual login form ",
3392,0,0,0.0,True,True,0.95,"The domain equalsconnect.com is 6.5 years old, has 1000 Wayback snapshots, and resolves to a legitimate ASN. The HTML contains a standard login form with reCAPTCHA, CSRF token, and references to a known brand 'Equals' with proper branding assets. No obfuscated scripts, credential-harvesting JS, or s",
2883,0,0,0.0,True,True,0.99,"The URL is a well-known financial information site (bankrate.com) with a long history, high Tranco rank, and extensive Wayback Machine snapshots. The HTML content contains standard analytics, advertising, and tracking scripts (Google Analytics, Facebook Pixel, Taboola, New Relic) typical of a legiti",
2275,1,1,1.0,True,True,0.85,"The domain 'klasmoller.shop' is not in the Tranco top 1M, never archived by Wayback Machine, and only 349 days old, which are typical of short-lived phishing sites. The page impersonates the Australian fashion brand Aje, using its logo and product categories, but the domain name 'klasmoller.shop' do",
3540,0,0,0.0,True,True,0.99,"The URL is the legitimate mattressfirm.com domain with a standard store locator path. The HTML content is a fully featured store finder page with canonical tags, meta descriptions, and a large number of analytics and marketing scripts (Tealium, Google Tag Manager, Facebook Pixel, etc.) consistent wi",
798,1,1,1.0,True,True,0.95,"The page impersonates Roblox by offering free Robux, a classic scam lure. It requests a username and platform selection, mimicking a login flow to harvest credentials. The domain 'robiux50kiu.blogspot.is' contains a typosquat of 'Robux' and uses a free hosting platform (Blogspot), which is commonly ",
4623,0,0,0.0,True,True,0.99,"The domain lantus.com is 27.8 years old, has 1000 Wayback snapshots, and resolves to a legitimate ASN. The HTML content is a fully branded, informational page about injecting Lantus insulin, with no password fields, login forms, credential-harvesting JavaScript, hidden iframes, or any phishing indic",
3385,0,0,0.0,True,True,0.95,"The domain driven.fleet-account.com is 5.7 years old, has 189 Wayback snapshots over 2.8 years, and a Tranco rank of #950,760, which are strong signals of a legitimate, established site. The HTML content loads the official Okta Sign-In Widget (okta-sign-in.min.css) from a known CDN (global.oktacdn.c",
4989,0,0,0.0,True,True,0.95,"The domain research.commercialmls.com is 29.7 years old, has 792 Wayback snapshots over 3.9 years, and resolves on a long-established ASN (AS16509). The HTML includes standard analytics (Google Analytics, HubSpot, New Relic) and a favicon/manifest for 'Catylist', a known commercial real estate MLS p",
3611,0,0,0.0,True,True,0.99,"The domain cityofcapegirardeau.org is 24.5 years old, has 1000 Wayback snapshots, a valid RDAP record, and 55 CT certificates, all consistent with a long-standing legitimate municipal website. The HTML content is a standard CivicLive CMS page for the City of Cape Girardeau, containing no password fi",
3778,0,0,0.0,True,True,0.98,"The domain vat.calculators.ro is a subdomain of calculators.ro, a well-established site with a Tranco rank of #34,782, over 10 years of Wayback history, and 92 SSL certificates. The HTML content is a legitimate reverse VAT calculator with no password fields, credential-harvesting scripts, hidden ifr",
3094,0,0,0.0,True,True,0.99,"The URL is a legitimate subpage of a well-known, long-established domain (daysoftheyear.com, Tranco rank #53,383, 15.3 years old, 1000+ Wayback snapshots). The HTML content is a standard informational page about a day (April 11) with no login forms, password fields, credential-harvesting JavaScript,",
1345,1,1,1.0,True,True,0.95,"The page impersonates Trezor, a well-known hardware wallet brand, and contains a login form asking for email and password, which is not how Trezor authentication works (Trezor uses device-based PIN and does not require a password). The domain 'trdzor-iohardware.pages.dev' is a typosquat of 'trezor' ",
19,1,1,1.0,True,True,0.95,"The domain duyungtogel.info is a suspicious typosquatting domain (mixing 'duyung' and 'togel') with a .info TLD, not in Tranco Top-1M, and only 316 days old despite a 7.7-year Wayback history, indicating domain churn. The page impersonates a crypto trading platform but contains a modal that asks for",
4863,0,0,0.0,True,True,0.99,"The URL is a legitimate .gov.au domain (nsw.gov.au) with a long-established history (Tranco rank #2,785, 29.5 years of Wayback snapshots, rich CT logs). The HTML content is a standard informational page about coercive control, with no password fields, login forms, credential-harvesting scripts, hidd",
943,1,1,0.0,True,False,0.95,"The URL path `/scss/bootstrap/mixins` and the HTML content indicate a legitimate Bootstrap-based web application, likely a gaming or betting platform (skin variables like `--skin__accent_1`, `--skin__bg_1`, `--skin__jackpot_text`). The page uses a modern SPA framework with module scripts, PWA manife",
228,1,1,1.0,True,True,0.95,"The URL contains a double-encoded path that points to an S3 bucket (gamingwallpaper.s3.amazonaws.com), a common technique to hide the real destination. The domain gamesmomo.info is only 317 days old, not in the Tranco top 1M, and has no recent Wayback snapshots, indicating a fresh, low-traffic site.",
113,1,1,1.0,True,True,0.92,"The page presents a fake CAPTCHA verification flow that ultimately redirects to 'y11.html', a classic phishing technique to harvest credentials or trick users. The domain 'ceqsspugh.novcfd.cfd' is a suspicious subdomain under a free, uncommon TLD (.cfd), not in Tranco top 1M, never archived, and onl",
621,1,1,1.0,True,True,0.92,"The page is hosted on a suspicious domain (ydz5jr7mtkc.com) that is not in the Tranco top 1M, has no Wayback Machine history, and is only 270 days old, which are common traits of phishing infrastructure. The HTML content impersonates a Japanese social community site 'Essence' and contains a fabricat",
3295,0,0,0.0,True,True,0.98,"The URL is the legitimate blockchain.com login page, a well-known domain with a Tranco rank of #10,929, 15.2 years of age, and extensive Wayback Machine history. The HTML content includes standard Next.js framework assets, Google reCAPTCHA integration, and legitimate meta tags and Open Graph data co",
1603,1,1,0.0,True,False,0.85,"The domain zipgoldberg.shop is over a year old, has a Wayback snapshot, and a valid RDAP record, which are typical of legitimate sites. The HTML content is a fully functional WooCommerce store with standard WordPress plugins, product listings, and no credential-harvesting forms, hidden iframes, or o",
583,1,1,1.0,True,True,0.95,"The domain 'facebook.xj-google.com' is a clear lookalike of Facebook, using a subdomain to impersonate the brand. The HTML content reveals a full gambling/casino application (xjwin.com) with no login form for Facebook, but the domain is designed to deceive users into thinking it's a Facebook-related",
